Entries= 50527, Total sum= 24000,,,,,,,,,,,
 fSumw[278]=17, x=22200,8]=17,=17,17,,,,,,,279,17
 fSumw[279]=26, x=22280,9]=26,=26,26,,,,,,,280,26
 fSumw[280]=20, x=22360,0]=20,=20,20,,,,,,,281,20
 fSumw[281]=23, x=22440,1]=23,=23,23,,,,,,,282,23
 fSumw[282]=28, x=22520,2]=28,=28,28,,,,,,,283,28
 fSumw[283]=29, x=22600,3]=29,=29,29,,,,,,,284,29
 fSumw[284]=28, x=22680,4]=28,=28,28,,,,,,,285,28
 fSumw[285]=21, x=22760,5]=21,=21,21,,,,,,,286,21
 fSumw[286]=19, x=22840,6]=19,=19,19,,,,,,,287,19
 fSumw[287]=17, x=22920,7]=17,=17,17,,,,,,,288,17
 fSumw[288]=24, x=23000,8]=24,=24,24,,,,,,,289,24
 fSumw[289]=28, x=23080,9]=28,=28,28,,,,,,,290,28
 fSumw[290]=28, x=23160,0]=28,=28,28,,,,,,,291,28
 fSumw[291]=17, x=23240,1]=17,=17,17,,,,,,,292,17
 fSumw[292]=20, x=23320,2]=20,=20,20,,,,,,,293,20
 fSumw[293]=24, x=23400,3]=24,=24,24,,,,,,,294,24
 fSumw[294]=23, x=23480,4]=23,=23,23,,,,,,,295,23
 fSumw[295]=25, x=23560,5]=25,=25,25,,,,,,,296,25
 fSumw[296]=17, x=23640,6]=17,=17,17,,,,,,,297,17
 fSumw[297]=17, x=23720,7]=17,=17,17,,,,,,,298,17
 fSumw[298]=22, x=23800,8]=22,=22,22,,,,,,,299,22
 fSumw[299]=26, x=23880,9]=26,=26,26,,,,,,,300,26
 fSumw[300]=23, x=23960,0]=23,=23,23,,,,,,,301,23
 fSumw[301]=27, x=24040,1]=27,=27,27,,,,,,,302,27
 fSumw[302]=21, x=24120,2]=21,=21,21,,,,,,,303,21
 fSumw[303]=20, x=24200,3]=20,=20,20,,,,,,,304,20
 fSumw[304]=25, x=24280,4]=25,=25,25,,,,,,,305,25
 fSumw[305]=17, x=24360,5]=17,=17,17,,,,,,,306,17
 fSumw[306]=26, x=24440,6]=26,=26,26,,,,,,,307,26
 fSumw[307]=20, x=24520,7]=20,=20,20,,,,,,,308,20
 fSumw[308]=21, x=24600,8]=21,=21,21,,,,,,,309,21
 fSumw[309]=25, x=24680,9]=25,=25,25,,,,,,,310,25
 fSumw[310]=24, x=24760,0]=24,=24,24,,,,,,,311,24
 fSumw[311]=14, x=24840,1]=14,=14,14,,,,,,,312,14
 fSumw[312]=23, x=24920,2]=23,=23,23,,,,,,,313,23
 fSumw[313]=25, x=25000,3]=25,=25,25,,,,,,,314,25
 fSumw[314]=20, x=25080,4]=20,=20,20,,,,,,,315,20
 fSumw[315]=22, x=25160,5]=22,=22,22,,,,,,,316,22
 fSumw[316]=20, x=25240,6]=20,=20,20,,,,,,,317,20
 fSumw[317]=22, x=25320,7]=22,=22,22,,,,,,,318,22
 fSumw[318]=22, x=25400,8]=22,=22,22,,,,,,,319,22
 fSumw[319]=27, x=25480,9]=27,=27,27,,,,,,,320,27
 fSumw[320]=24, x=25560,0]=24,=24,24,,,,,,,321,24
 fSumw[321]=23, x=25640,1]=23,=23,23,,,,,,,322,23
 fSumw[322]=22, x=25720,2]=22,=22,22,,,,,,,323,22
 fSumw[323]=12, x=25800,3]=12,=12,12,,,,,,,324,12
 fSumw[324]=22, x=25880,4]=22,=22,22,,,,,,,325,22
 fSumw[325]=16, x=25960,5]=16,=16,16,,,,,,,326,16
 fSumw[326]=24, x=26040,6]=24,=24,24,,,,,,,327,24
 fSumw[327]=14, x=26120,7]=14,=14,14,,,,,,,328,14
 fSumw[328]=14, x=26200,8]=14,=14,14,,,,,,,329,14
 fSumw[329]=15, x=26280,9]=15,=15,15,,,,,,,330,15
 fSumw[330]=26, x=26360,0]=26,=26,26,,,,,,,331,26
 fSumw[331]=22, x=26440,1]=22,=22,22,,,,,,,332,22
 fSumw[332]=25, x=26520,2]=25,=25,25,,,,,,,333,25
 fSumw[333]=23, x=26600,3]=23,=23,23,,,,,,,334,23
 fSumw[334]=17, x=26680,4]=17,=17,17,,,,,,,335,17
 fSumw[335]=20, x=26760,5]=20,=20,20,,,,,,,336,20
 fSumw[336]=17, x=26840,6]=17,=17,17,,,,,,,337,17
 fSumw[337]=22, x=26920,7]=22,=22,22,,,,,,,338,22
 fSumw[338]=27, x=27000,8]=27,=27,27,,,,,,,339,27
 fSumw[339]=19, x=27080,9]=19,=19,19,,,,,,,340,19
 fSumw[340]=19, x=27160,0]=19,=19,19,,,,,,,341,19
 fSumw[341]=19, x=27240,1]=19,=19,19,,,,,,,342,19
 fSumw[342]=24, x=27320,2]=24,=24,24,,,,,,,343,24
 fSumw[343]=16, x=27400,3]=16,=16,16,,,,,,,344,16
 fSumw[344]=17, x=27480,4]=17,=17,17,,,,,,,345,17
 fSumw[345]=19, x=27560,5]=19,=19,19,,,,,,,346,19
 fSumw[346]=17, x=27640,6]=17,=17,17,,,,,,,347,17
 fSumw[347]=20, x=27720,7]=20,=20,20,,,,,,,348,20
 fSumw[348]=20, x=27800,8]=20,=20,20,,,,,,,349,20
 fSumw[349]=20, x=27880,9]=20,=20,20,,,,,,,350,20
 fSumw[350]=14, x=27960,0]=14,=14,14,,,,,,,351,14
 fSumw[351]=21, x=28040,1]=21,=21,21,,,,,,,352,21
 fSumw[352]=19, x=28120,2]=19,=19,19,,,,,,,353,19
 fSumw[353]=26, x=28200,3]=26,=26,26,,,,,,,354,26
 fSumw[354]=17, x=28280,4]=17,=17,17,,,,,,,355,17
 fSumw[355]=15, x=28360,5]=15,=15,15,,,,,,,356,15
 fSumw[356]=15, x=28440,6]=15,=15,15,,,,,,,357,15
 fSumw[357]=20, x=28520,7]=20,=20,20,,,,,,,358,20
 fSumw[358]=18, x=28600,8]=18,=18,18,,,,,,,359,18
 fSumw[359]=19, x=28680,9]=19,=19,19,,,,,,,360,19
 fSumw[360]=15, x=28760,0]=15,=15,15,,,,,,,361,15
 fSumw[361]=12, x=28840,1]=12,=12,12,,,,,,,362,12
 fSumw[362]=15, x=28920,2]=15,=15,15,,,,,,,363,15
 fSumw[363]=20, x=29000,3]=20,=20,20,,,,,,,364,20
 fSumw[364]=25, x=29080,4]=25,=25,25,,,,,,,365,25
 fSumw[365]=21, x=29160,5]=21,=21,21,,,,,,,366,21
 fSumw[366]=24, x=29240,6]=24,=24,24,,,,,,,367,24
 fSumw[367]=15, x=29320,7]=15,=15,15,,,,,,,368,15
 fSumw[368]=15, x=29400,8]=15,=15,15,,,,,,,369,15
 fSumw[369]=16, x=29480,9]=16,=16,16,,,,,,,370,16
 fSumw[370]=20, x=29560,0]=20,=20,20,,,,,,,371,20
 fSumw[371]=22, x=29640,1]=22,=22,22,,,,,,,372,22
 fSumw[372]=16, x=29720,2]=16,=16,16,,,,,,,373,16
 fSumw[373]=13, x=29800,3]=13,=13,13,,,,,,,374,13
 fSumw[374]=20, x=29880,4]=20,=20,20,,,,,,,375,20
 fSumw[375]=19, x=29960,5]=19,=19,19,,,,,,,376,19
 fSumw[376]=21, x=30040,6]=21,=21,21,,,,,,,377,21
 fSumw[377]=17, x=30120,7]=17,=17,17,,,,,,,378,17
 fSumw[378]=8, x=30200,8]=8,=8,8,,,,,,,379,8
 fSumw[379]=16, x=30280,9]=16,=16,16,,,,,,,380,16
 fSumw[380]=20, x=30360,0]=20,=20,20,,,,,,,381,20
 fSumw[381]=30, x=30440,1]=30,=30,30,,,,,,,382,30
 fSumw[382]=19, x=30520,2]=19,=19,19,,,,,,,383,19
 fSumw[383]=25, x=30600,3]=25,=25,25,,,,,,,384,25
 fSumw[384]=21, x=30680,4]=21,=21,21,,,,,,,385,21
 fSumw[385]=17, x=30760,5]=17,=17,17,,,,,,,386,17
 fSumw[386]=20, x=30840,6]=20,=20,20,,,,,,,387,20
 fSumw[387]=19, x=30920,7]=19,=19,19,,,,,,,388,19
 fSumw[388]=18, x=31000,8]=18,=18,18,,,,,,,389,18
 fSumw[389]=11, x=31080,9]=11,=11,11,,,,,,,390,11
 fSumw[390]=18, x=31160,0]=18,=18,18,,,,,,,391,18
